lib/components/disclaimer/disclaimer_component.js:28,"Arrival Advisor respects and maintains the privacy and anonymity of its users. Users do not need to provide personal information in order to use the app. The questionnaire is designed to assist in personalizing services and resources required by the user, and answers are only saved to enhance the usability of the app over time. Users of the Arrival Advisor app do so at their own discretion. The answers you provide will be used for the operation of this tool to provide you with guidance on resources and services that can help you adjust to life in Canada. Users cannot be identified by their answers to the questionnaire. The information is not used by Immigration, Refugees and Citizenship Canada for any other purpose and is not used for any immigration decision making.","Arrival Advisor respecte et préserve la confidentialité et l’anonymat de ses utilisateurs. Les utilisateurs n’ont pas à fournir de renseignements personnels afin d’utiliser l’application. Le questionnaire vise à personnaliser les services et les ressources requis par l’utilisateur(trice), et les réponses sont sauvegardées uniquement pour améliorer la convivialité de l’application au fil du temps. Les utilisateurs d’Arrival Advisor le font à leur seule discrétion. Les réponses que vous fournissez seront utilisées afin que cet outil puisse vous offrir des conseils quant aux ressources et aux services pouvant vous aider à vous ajuster à la vie au Canada. Les réponses fournies au questionnaire ne permettront pas d’établir l’identité des utilisateurs. Les renseignements ne sont pas utilisés par Immigration, Réfugiés et Citoyenneté Canada à toute autre fin, et ne sont pas utilisés lors de prises de décisions relatives à l’immigration."
lib/components/disclaimer/disclaimer_component.js:40,"PeaceGeeks is not liable for any damages incurred as a result of or related to the use of the app. PeaceGeeks is not an immigration consultancy network, and therefore cannot provide advice or support directly related to immigration. Arrival Advisor exists to offer newcomers a directory of services and resources to assist settlement in Metro Vancouver and does not exist in an official Immigration Service capacity.","PeaceGeeks n’est pas responsable des dommages résultant de l’utilisation de l’application, ou y étant liés. PeaceGeeks n’est pas un réseau de conseil en matière d’immigration et, par conséquent, ne peut pas fournir des conseils ou du soutien reliés directement à l’immigration. PeaceGeeks existe afin d’offrir aux nouveaux arrivants un annuaire de services et de ressources pour faciliter l’établissement dans le Grand Vancouver. PeaceGeeks n’existe pas à titre de service d’immigration officiel."
lib/components/disclaimer/disclaimer_component.js:8 lib/components/header_menu/header_menu_component.js:51,Disclaimer,Avertissement
lib/components/expandable_content/expandable_content_component.js:79,Read less,En lire moins
lib/components/expandable_content/expandable_content_component.js:79,Read more,En lire davantage
lib/components/explore/explore_all_component.js:11,Learn all about B.C.,Tout savoir sur la C.-B.
lib/components/explore/explore_detail_component.js:19,EXPLORE TOPICS,EXPLORER LES SUJETS
lib/components/header_menu/header_menu_component.js:24,SELECT YOUR LANGUAGE,CHOISIR LA LANGUE
lib/components/header_menu/header_menu_component.js:45,ABOUT THE APP,À PROPOS DE L’APPLICATION
lib/components/header_menu/header_menu_component.js:52,Privacy policy,Politique de confidentialité
lib/components/help/help_component.js:11,Information on emergency services (9-1-1),Renseignements relatifs au service d’urgence 9-1-1
lib/components/help/help_component.js:12,"Police, fire and medical emergencies","Police, pompiers et urgences médicales"
lib/components/help/help_component.js:16,Information on HealthLinkBC (8-1-1),Renseignements relatifs à HealthLink BC (8-1-1)
lib/components/help/help_component.js:17,Mutlilingual health information services,Services de conseils médicaux multilingues
lib/components/help/help_component.js:21,Information on BC211,Renseignements relatifs à BC211
lib/components/help/help_component.js:22,Services information and referral,Renseignements relatifs aux services et à l’orientation
lib/components/help/help_component.js:26,Information on helplines,Renseignements relatifs aux lignes d’aide
lib/components/help/help_component.js:30,Contact Arrival Advisor team,Contacter l’équipe d’Arrival Advisor
lib/components/help/help_component.js:43,Help & Support,Aide et soutien
lib/components/help/help_component.js:46,"If you are having difficulty with settlement in Canada, we suggest getting in touch with a settlement worker.","Si vous éprouvez de la difficulté à vous établir au Canada, nous vous suggérons de communiquer avec un travailleur en établissement."
lib/components/help/help_component.js:56,FOR ADDITIONAL ASSISTANCE,POUR DU SOUTIEN ADDITIONNEL
lib/components/help/help_component.js:68,Find a settlement agency near me,Trouver une agence d’établissement à proximité
lib/components/help/help_component.js:88,Delete all user data,Supprimer toutes les données de l’utilisateur(trice)
lib/components/maps_application_popup/maps_application_popup_component.js:18,Open in maps,Voir sur une carte
lib/components/newly_recommended_tasks/newly_recommended_tasks_component.js:36,Number of new topics recommended based on your answers:,"Nombre de nouveaux sujets recommandés, selon vos réponses :"
lib/components/newly_recommended_tasks/newly_recommended_tasks_component.js:72,OK,OK
lib/components/notifications/notification_content.js:12,Bookmark removed,Retiré des favoris
lib/components/notifications/notification_content.js:7,Bookmark added,Ajouté aux favoris
lib/components/questionnaire/questionnaire_component.js:49,OF,SUR
lib/components/questionnaire/questionnaire_component.js:65,Next,Prochaine question
lib/components/questionnaire/questionnaire_component.js:65,Skip,Ignorer la question
lib/components/questionnaire/questionnaire_component.js:75,Back,Question précédente
lib/components/questionnaire/questionnaire_component.js:83,Done,Terminé
lib/components/recommended_topics/call_to_action.js:33,GETTING STARTED,DÉBUTER
lib/components/recommended_topics/call_to_action.js:36,Get information based on your needs,Obtenir des renseignements basés sur vos besoins
lib/components/recommended_topics/call_to_action.js:46,Answer a few questions about your situation to get personalized recommendations of topics and services to help you settle in British Columbia.,Répondez à quelques questions relatives à votre situation afin d’obtenir des recommandations personnalisées de sujets et de services qui faciliteront votre établissement en Colombie-Britannique.
lib/components/recommended_topics/call_to_action.js:55,Answer questions,Répondre aux questions
lib/components/recommended_topics/call_to_action.js:60,"Once you answer some questions, your recommendations will show up below. For now, here are some topics we recommend for everyone:","Une fois que vous aurez répondu à quelques questions, les recommandations apparaîtront ci-dessous. Pour le moment, voici quelques sujets que nous recommandons à tous :"
lib/components/recommended_topics/call_to_action.js:70,UPDATE MY RECOMMENDATIONS,METTRE À JOUR MES RECOMMANDATIONS
lib/components/recommended_topics/call_to_action.js:74,Go back to questions,Revenir aux questions
lib/components/recommended_topics/call_to_action.js:99,"Based on your answers, we recommend these topics for you:","En nous appuyant sur vos réponses, nous vous recommandons les sujets suivants :"
lib/components/recommended_topics/recommended_topics_component.js:19,Start settling in B.C.,Amorcer l’établissement en C.-B.
lib/components/recommended_topics/recommended_topics_component.js:34 lib/components/tasks/task_detail_content_component.js:63,Recommended for you,Recommended for you
lib/components/services/service_list_component.js:30,FIND A SERVICE NEAR YOU,TROUVER UN SERVICE À PROXIMITÉ
lib/components/services/service_list_component.js:41,No related services found,Nous n’avons pas trouvé de service connexe.
lib/components/services/service_list_item_component.js:24,Address:,Adresse :
lib/components/tasks/task_detail_component.js:19,RELATED TOPICS,SUJETS CONNEXES
lib/components/tasks/task_detail_content_component.js:86,Find related services near me,Trouver des services connexes à proximité
lib/components/tasks/task_list_component.js:71,No topics to show,Aucun sujet à afficher
lib/components/tasks/task_list_component.js:72,No topics to recommend,Aucun sujet à recommander
lib/components/welcome/welcome_component.js:27,Settling in Canada is now easier.,S’établir au Canada est maintenant plus facile.
lib/components/welcome/welcome_component.js:31,Select your language,Choisir la langue
lib/components/welcome/welcome_component.js:42,Start,Débuter
